Ticket ID,Customer ID,Order ID,Customer Query,Query Category,Sentiment,Priority,Created Date,Resolution Status,Escalation Status
TKT-100034,CUST-18955,ORD-949125,Someone tried to access my profile from a different location. Can you verify my login history?,Account,Neutral,urgent,2026-06-24,new,No
TKT-100035,CUST-12129,ORD-860480,My order ORD-860480 was shipped via express delivery but it's delayed. Can I get a shipping fee refund?,Shipping,Neutral,low,2026-06-22,pending,No
TKT-100036,CUST-11979,ORD-367890,Why was my account charged 349? I didn't purchase anything recently. Order reference is ORD-367890.,Billing,Positive,high,2026-06-17,escalated,Yes
TKT-100037,CUST-11358,ORD-960443,Can you help me debug the sync issue on MacBook Pro M2? It shows database error ERR_DB_TIMEOUT_504 constantly.,Technical,Negative,medium,2026-06-21,resolved,No
TKT-100038,CUST-18697,ORD-129031,I need to update my billing address from Seattle to my new home. Can you help me?,Billing,Positive,urgent,2026-06-30,escalated,Yes
TKT-100039,CUST-16677,ORD-556635,The secure setup for Quantum Laptop 15 fails with code ERR_RESOURCE_NOT_FOUND_404. I have tried restarting the router already.,Technical,Neutral,low,2026-07-01,pending,No
TKT-100040,CUST-17596,ORD-487654,How long does shipping to Denver take for the 4K HDR Monitor? I need it before Friday.,Shipping,Negative,low,2026-06-05,resolved,No
TKT-100041,CUST-16233,ORD-935754,I was billed twice for my subscription. The invoice shows ORD-935754 for 299 but I only authorized one charge.,Billing,Neutral,high,2026-06-20,in_progress,No
TKT-100042,CUST-14987,ORD-431922,"My profile has been suspended for security reasons, it says error ERR_RESOURCE_NOT_FOUND_404. How can I unlock it?",Account,Positive,low,2026-06-30,in_progress,No
TKT-100043,CUST-11328,ORD-663762,I was billed twice for my subscription. The invoice shows ORD-663762 for 129 but I only authorized one charge.,Billing,Neutral,medium,2026-06-26,in_progress,No
TKT-100044,CUST-13053,ORD-549167,I'm experiencing slow speeds in El Paso using iPad Air. Is there an outage in my area?,Technical,Negative,high,2026-06-02,resolved,No
TKT-100045,CUST-10368,ORD-847220,I am looking at Pro Headphones X and wanted to know if it comes with a warranty. What does the warranty cover?,Product,Negative,urgent,2026-06-29,escalated,Yes
TKT-100046,CUST-11878,ORD-507771,"I'm trying to buy Quantum Laptop 15 from Oakland, but the payment keeps failing with billing code ERR_INVALID_LICENSE_KEY.",Billing,Positive,low,2026-06-26,resolved,No
TKT-100047,CUST-12331,ORD-752870,Is Eco Charging Pad compatible with Mac and Windows? I plan to use it on my Windows Desktop.,Product,Negative,low,2026-06-03,new,No
TKT-100048,CUST-15447,ORD-957768,The secure setup for Eco Charging Pad fails with code ERR_INVALID_LICENSE_KEY. I have tried restarting the router already.,Technical,Neutral,urgent,2026-06-12,in_progress,No
TKT-100049,CUST-10286,ORD-132367,can you help me debug the sync issue on macbook pro m2? it shows database error err_db_timeout_504 constantly.,Technical,Negative,high,2026-06-24,new,No
TKT-100050,CUST-18120,ORD-693083,My Windows Desktop is throwing error ERR_DB_TIMEOUT_504 when trying to connect to the server. Please help.,Technical,Neutral,medium,2026-06-13,escalated,Yes
TKT-100051,CUST-11166,ORD-172850,I need to update my billing address from Boston to my new home. Can you help me?,Billing,Neutral,medium,2026-06-25,in_progress,No
TKT-100052,CUST-13689,ORD-984885,my iphone 14 pro is throwing error err_db_timeout_504 when trying to connect to the server. please help.,Technical,Negative,low,2026-06-30,new,No
TKT-100053,CUST-13159,ORD-893629,Can you help me debug the sync issue on iPad Air? It shows database error ERR_CONNECTION_TIMED_OUT constantly.,Technical,Neutral,low,2026-06-30,escalated,Yes
TKT-100054,CUST-17946,ORD-510706,Someone tried to access my profile from a different location. Can you verify my login history?,Account,Positive,high,2026-06-12,new,No
TKT-100055,CUST-19329,ORD-571843,Where is my package? The tracking for order ORD-571843 has not updated in 3 days. It was supposed to ship to Boston.,Shipping,Neutral,high,2026-06-27,in_progress,No
TKT-100056,CUST-10936,ORD-968972,My order ORD-968972 was shipped via express delivery but it's delayed. Can I get a shipping fee refund?,Shipping,Negative,medium,2026-06-02,in_progress,No
TKT-100057,CUST-18523,ORD-629745,What is the battery life of Noise-Cancelling Bud S? Does it support fast charging on Dell XPS 13?,Product,Negative,low,2026-07-01,resolved,No
TKT-100058,CUST-10248,ORD-868173,The application screen is completely frozen on my Android Tablet after the latest update.,Technical,Positive,urgent,2026-06-06,new,No
TKT-100059,CUST-13393,ORD-198724,Where is my package? The tracking for order ORD-198724 has not updated in 3 days. It was supposed to ship to Xenia.,Shipping,Neutral,low,2026-06-03,in_progress,No
TKT-100060,CUST-13965,ORD-819788,I need to change my registered email from pat.thomas@example.com to another address.,Account,Neutral,high,2026-07-01,escalated,Yes
TKT-100061,CUST-13154,ORD-591993,Is Pro Headphones X compatible with Mac and Windows? I plan to use it on my Dell XPS 13.,Product,Neutral,low,2026-06-20,in_progress,No
TKT-100062,CUST-11535,ORD-940004,Why was my account charged 299? I didn't purchase anything recently. Order reference is ORD-940004.,Billing,Neutral,urgent,2026-06-29,new,No
TKT-100063,CUST-17180,ORD-729858,I forgot my password and the reset email is not arriving. My email is owen.garcia@example.com.,Account,Neutral,urgent,2026-06-26,new,No
TKT-100064,CUST-17963,ORD-786786,I cannot change my username. It keeps saying invalid format. Please help.,Account,Negative,medium,2026-06-15,escalated,Yes
TKT-100065,CUST-17034,ORD-689446,where is my package? the tracking for order ord-689446 has not updated in 3 days. it was supposed to ship to houston.,Shipping,Positive,low,2026-06-06,in_progress,No
TKT-100066,CUST-14423,ORD-406653,Can you tell me the physical dimensions and weight of 4K HDR Monitor? I want to make sure it fits my desk.,Product,Neutral,medium,2026-06-21,in_progress,No
TKT-100067,CUST-12363,ORD-891882,Where is my package? The tracking for order ORD-891882 has not updated in 3 days. It was supposed to ship to Vancouver.,Shipping,Positive,medium,2026-06-29,new,No
TKT-100068,CUST-13376,ORD-481667,My MacBook Pro M2 is throwing error ERR_SSL_HANDSHAKE_FAILED when trying to connect to the server. Please help.,Technical,Positive,low,2026-06-08,in_progress,No
TKT-100069,CUST-11259,ORD-790341,I ordered Noise-Cancelling Bud S but the delivery address is incorrect. Can I change it to Urbana?,Shipping,Negative,high,2026-07-01,new,No
TKT-100070,CUST-14676,ORD-839119,My Android Tablet is throwing error ERR_INVALID_LICENSE_KEY when trying to connect to the server. Please help.,Technical,Negative,low,2026-06-16,new,No
TKT-100071,CUST-17772,ORD-805491,My Windows Desktop is throwing error ERR_RESOURCE_NOT_FOUND_404 when trying to connect to the server. Please help.,Technical,Neutral,low,2026-06-14,resolved,No
TKT-100072,CUST-18686,ORD-994164,Someone tried to access my profile from a different location. Can you verify my login history?,Account,Positive,low,2026-07-01,new,No
TKT-100073,CUST-17679,ORD-508850,I forgot my password and the reset email is not arriving. My email is morgan.rodriguez@example.com.,Account,Negative,low,2026-06-22,new,No
TKT-100074,CUST-18878,ORD-603358,Why was my account charged 1499? I didn't purchase anything recently. Order reference is ORD-603358.,Billing,Negative,high,2026-06-30,resolved,No
TKT-100075,CUST-15923,ORD-660124,"The delivery status for order ORD-660124 says delivered, but I haven't received anything at my home in Wichita.",Shipping,Negative,medium,2026-06-26,in_progress,No
TKT-100076,CUST-13824,ORD-129142,"The delivery status for order ORD-129142 says delivered, but I haven't received anything at my home in Zion.",Shipping,Neutral,low,2026-06-02,new,No
TKT-100077,CUST-14410,ORD-624224,I am looking at Quantum Laptop 15 and wanted to know if it comes with a warranty. What does the warranty cover? please assist asap.,Product,Negative,low,2026-06-26,in_progress,No
TKT-100078,CUST-14761,ORD-201823,I ordered Eco Charging Pad but the delivery address is incorrect. Can I change it to Nashville?,Shipping,Neutral,low,2026-06-27,escalated,Yes
TKT-100079,CUST-12545,ORD-553714,I want to compare Ultra Smartwatch v2 with other models. What are the key advantages of this version?,Product,Positive,low,2026-06-11,pending,No
TKT-100080,CUST-14592,ORD-501983,I received a notification that order ORD-501983 was returned to sender. Why did that happen?,Shipping,Positive,medium,2026-06-06,escalated,Yes
TKT-100081,CUST-19845,ORD-955823,I am requesting a refund for order ORD-955823 since the product arrived damaged. The total amount was $129.,Billing,Positive,urgent,2026-06-12,resolved,No
TKT-100082,CUST-14921,ORD-801117,I need to update my billing address from Denver to my new home. Can you help me?,Billing,Negative,low,2026-06-09,in_progress,No
TKT-100083,CUST-15181,ORD-864402,i want to compare secure router pro with other models. what are the key advantages of this version?,Product,Negative,urgent,2026-07-02,in_progress,No
TKT-100084,CUST-16675,ORD-957529,Is Pro Headphones X currently in stock in any physical stores near Yonkers?,Product,Positive,medium,2026-06-27,in_progress,No
TKT-100085,CUST-15786,ORD-825200,"I'm trying to buy Secure Router Pro from Houston, but the payment keeps failing with billing code ERR_CONNECTION_TIMED_OUT.",Billing,Positive,high,2026-06-26,pending,No
TKT-100086,CUST-10818,ORD-693471,Is Pro Headphones X currently in stock in any physical stores near Denver?,Product,Negative,high,2026-07-02,in_progress,No
TKT-100087,CUST-12051,ORD-316559,I want to compare 4K HDR Monitor with other models. What are the key advantages of this version?,Product,Positive,high,2026-06-07,new,No
TKT-100088,CUST-19610,ORD-440823,I am requesting a refund for order ORD-440823 since the product arrived damaged. The total amount was $1499. please assist asap.,Billing,Positive,low,2026-06-28,escalated,Yes
TKT-100089,CUST-18574,ORD-135695,How can I delete my profile? I no longer wish to use this service. My customer name is Benjamin King.,Account,Positive,high,2026-06-18,pending,No
TKT-100090,CUST-13784,ORD-592194,I need to change my registered email from morgan.baker@example.com to another address.,Account,Positive,low,2026-06-17,in_progress,No
TKT-100091,CUST-19145,ORD-885735,Can you tell me the physical dimensions and weight of Secure Router Pro? I want to make sure it fits my desk.,Product,Negative,medium,2026-06-07,pending,No
TKT-100092,CUST-19656,ORD-940124,My order ORD-940124 was shipped via express delivery but it's delayed. Can I get a shipping fee refund?,Shipping,Negative,urgent,2026-06-28,new,No
TKT-100093,CUST-13593,ORD-383167,My Dell XPS 13 is throwing error ERR_DB_TIMEOUT_504 when trying to connect to the server. Please help.,Technical,Negative,low,2026-06-12,new,No
TKT-100094,CUST-19628,ORD-863197,What is the battery life of Pro Headphones X? Does it support fast charging on Android Tablet?,Product,Positive,low,2026-06-14,escalated,Yes
TKT-100095,CUST-10641,ORD-407150,i cannot change my username. it keeps saying invalid format. please help.,Account,Negative,high,2026-06-24,resolved,No
TKT-100096,CUST-15121,ORD-978536,"I'm trying to buy Ultra Smartwatch v2 from Queens, but the payment keeps failing with billing code ERR_DB_TIMEOUT_504.",Billing,Neutral,urgent,2026-06-05,resolved,No
TKT-100097,CUST-11767,ORD-297790,My iPad Air is throwing error ERR_SSL_HANDSHAKE_FAILED when trying to connect to the server. Please help.,Technical,Positive,medium,2026-06-22,new,No
TKT-100098,CUST-18223,ORD-772998,does secure router pro support integration with ipad air? i couldn't find this spec in the manual.,Product,Neutral,low,2026-06-30,resolved,No
TKT-100099,CUST-19991,ORD-705982,The software crashes on startup on my Windows Desktop. It worked fine yesterday but now displays ERR_AUTH_FAILED_401.,Technical,Neutral,low,2026-06-03,new,No
TKT-100100,CUST-19584,ORD-649474,"Hi, I noticed a double charge of $49 on my credit card for order ORD-649474. Can you please issue a refund?",Billing,Negative,urgent,2026-07-01,new,No
TKT-100101,CUST-17368,ORD-954468,My order ORD-954468 was shipped via express delivery but it's delayed. Can I get a shipping fee refund?,Shipping,Neutral,medium,2026-06-27,new,No
TKT-100102,CUST-14339,ORD-633436,"The delivery status for order ORD-633436 says delivered, but I haven't received anything at my home in Jacksonville.",Shipping,Negative,urgent,2026-06-05,resolved,No
TKT-100103,CUST-15054,ORD-548271,My MacBook Pro M2 is throwing error ERR_SSL_HANDSHAKE_FAILED when trying to connect to the server. Please help. please assist asap.,Technical,Positive,high,2026-06-18,pending,No
TKT-100104,CUST-18958,ORD-147360,Where is my package? The tracking for order ORD-147360 has not updated in 3 days. It was supposed to ship to Zion.,Shipping,Negative,high,2026-06-02,resolved,No
TKT-100105,CUST-11045,ORD-272647,i want to compare pro headphones x with other models. what are the key advantages of this version?,Product,Negative,medium,2026-06-02,escalated,Yes
TKT-100106,CUST-13191,ORD-443280,Is Secure Router Pro compatible with Mac and Windows? I plan to use it on my iPhone 14 Pro.,Product,Positive,medium,2026-06-29,resolved,No
TKT-100107,CUST-12726,ORD-512361,What is the battery life of Noise-Cancelling Bud S? Does it support fast charging on iPad Air?,Product,Positive,urgent,2026-06-07,resolved,No
TKT-100108,CUST-15456,ORD-953679,I ordered Secure Router Pro but the delivery address is incorrect. Can I change it to Fort Worth?,Shipping,Neutral,medium,2026-06-17,resolved,No
TKT-100109,CUST-12580,ORD-229685,Is Secure Router Pro compatible with Mac and Windows? I plan to use it on my iPhone 14 Pro.,Product,Positive,low,2026-06-16,escalated,Yes
TKT-100110,CUST-19204,ORD-750572,Is Ultra Smartwatch v2 currently in stock in any physical stores near Los Angeles?,Product,Neutral,low,2026-06-21,escalated,Yes
TKT-100111,CUST-12447,ORD-834314,"I'm trying to buy Ultra Smartwatch v2 from Denver, but the payment keeps failing with billing code ERR_INVALID_LICENSE_KEY.",Billing,Positive,urgent,2026-06-07,in_progress,No
TKT-100112,CUST-14754,ORD-836851,Someone tried to access my profile from a different location. Can you verify my login history?,Account,Positive,urgent,2026-06-03,new,No
TKT-100113,CUST-10734,ORD-528344,I am unable to login on my Windows Desktop. It keeps spinning and says ERR_DB_TIMEOUT_504.,Technical,Neutral,high,2026-06-02,new,No
TKT-100114,CUST-14274,ORD-921116,The package containing my Ultra Smartwatch v2 is stuck at the local hub in Vancouver. Please check on it.,Shipping,Positive,medium,2026-06-26,escalated,Yes
TKT-100115,CUST-14440,ORD-726877,The package containing my Eco Charging Pad is stuck at the local hub in Oakland. Please check on it.,Shipping,Positive,high,2026-06-09,new,No
TKT-100116,CUST-16966,ORD-788763,I received a notification that order ORD-788763 was returned to sender. Why did that happen?,Shipping,Neutral,urgent,2026-06-23,escalated,Yes
TKT-100117,CUST-13538,ORD-933930,Is Quantum Laptop 15 currently in stock in any physical stores near Jacksonville?,Product,Negative,low,2026-06-25,new,No
TKT-100118,CUST-10980,ORD-319036,Why was my account charged 129? I didn't purchase anything recently. Order reference is ORD-319036.,Billing,Neutral,low,2026-06-21,escalated,Yes
TKT-100119,CUST-14594,ORD-558658,"i'm trying to buy noise-cancelling bud s from chicago, but the payment keeps failing with billing code err_invalid_license_key.",Billing,Negative,medium,2026-06-07,new,No
TKT-100120,CUST-10400,ORD-712670,My order ORD-712670 was shipped via express delivery but it's delayed. Can I get a shipping fee refund?,Shipping,Negative,low,2026-06-14,resolved,No
TKT-100121,CUST-17812,ORD-810780,My card on file was charged 199 but I cancelled my plan last week. Refund needed ASAP.,Billing,Negative,high,2026-06-08,in_progress,No
TKT-100122,CUST-16499,ORD-623073,Could you send me the invoice for my purchase of Secure Router Pro? Order ID is ORD-623073.,Billing,Positive,high,2026-06-29,escalated,Yes
TKT-100123,CUST-16333,ORD-626976,How do I enable two-factor authentication (2FA) on my iPad Air? I want to secure my account.,Account,Negative,urgent,2026-06-10,new,No
TKT-100124,CUST-12639,ORD-121202,How can I delete my profile? I no longer wish to use this service. My customer name is Morgan Baker.,Account,Neutral,high,2026-06-21,escalated,Yes
TKT-100125,CUST-17358,ORD-347846,How can I delete my profile? I no longer wish to use this service. My customer name is Morgan Lewis.,Account,Positive,medium,2026-06-09,escalated,Yes
TKT-100126,CUST-12039,ORD-188437,Someone tried to access my profile from a different location. Can you verify my login history?,Account,Negative,low,2026-06-02,escalated,Yes
TKT-100127,CUST-15348,ORD-466441,I ordered 4K HDR Monitor but the delivery address is incorrect. Can I change it to Queens?,Shipping,Neutral,low,2026-06-14,in_progress,No
TKT-100128,CUST-17730,ORD-434648,I am unable to login on my Dell XPS 13. It keeps spinning and says ERR_SSL_HANDSHAKE_FAILED. please assist asap.,Technical,Neutral,medium,2026-06-26,new,No
TKT-100129,CUST-13406,ORD-566110,I cannot change my username. It keeps saying invalid format. Please help.,Account,Positive,medium,2026-06-06,new,No
TKT-100130,CUST-17793,ORD-515022,I am requesting a refund for order ORD-515022 since the product arrived damaged. The total amount was $1499.,Billing,Positive,low,2026-07-01,escalated,Yes
TKT-100131,CUST-11087,ORD-804444,My order ORD-804444 was shipped via express delivery but it's delayed. Can I get a shipping fee refund?,Shipping,Negative,low,2026-06-20,in_progress,No
TKT-100132,CUST-10229,ORD-298712,I am requesting a refund for order ORD-298712 since the product arrived damaged. The total amount was $129. please assist asap.,Billing,Positive,medium,2026-06-18,resolved,No
TKT-100133,CUST-10805,ORD-934466,Why was my account charged 199? I didn't purchase anything recently. Order reference is ORD-934466.,Billing,Negative,urgent,2026-06-23,resolved,No
TKT-100134,CUST-19053,ORD-723770,Someone tried to access my profile from a different location. Can you verify my login history?,Account,Negative,urgent,2026-06-18,resolved,No
TKT-100135,CUST-11269,ORD-511432,I am unable to login on my iPhone 14 Pro. It keeps spinning and says ERR_RESOURCE_NOT_FOUND_404.,Technical,Negative,low,2026-06-12,escalated,Yes
TKT-100136,CUST-19929,ORD-450435,I need to update my billing address from Urbana to my new home. Can you help me?,Billing,Positive,medium,2026-06-14,pending,No
TKT-100137,CUST-13699,ORD-359438,I am looking at Secure Router Pro and wanted to know if it comes with a warranty. What does the warranty cover?,Product,Negative,low,2026-06-06,escalated,Yes
TKT-100138,CUST-11122,ORD-151196,I cannot change my username. It keeps saying invalid format. Please help.,Account,Negative,urgent,2026-06-29,pending,No
TKT-100139,CUST-16227,ORD-815420,I need to change my registered email from natalie.ortiz@example.com to another address.,Account,Negative,medium,2026-06-29,resolved,No
TKT-100140,CUST-12833,ORD-694785,How do I configure the firmware update on the Quantum Laptop 15? I'm getting a connection failure.,Technical,Neutral,urgent,2026-06-04,pending,No
TKT-100141,CUST-13501,ORD-436756,The application screen is completely frozen on my Windows Desktop after the latest update.,Technical,Negative,high,2026-06-15,escalated,Yes
TKT-100142,CUST-16097,ORD-916569,The application screen is completely frozen on my Windows Desktop after the latest update.,Technical,Negative,medium,2026-06-14,resolved,No
TKT-100143,CUST-14201,ORD-687993,I was billed twice for my subscription. The invoice shows ORD-687993 for 49 but I only authorized one charge.,Billing,Positive,urgent,2026-06-02,resolved,No
TKT-100144,CUST-19196,ORD-298452,I need to update my billing address from Denver to my new home. Can you help me?,Billing,Negative,medium,2026-06-11,escalated,Yes
TKT-100145,CUST-19456,ORD-519720,Where is my package? The tracking for order ORD-519720 has not updated in 3 days. It was supposed to ship to Oakland.,Shipping,Negative,high,2026-06-04,pending,No
TKT-100146,CUST-16259,ORD-616963,I received a notification that order ORD-616963 was returned to sender. Why did that happen?,Shipping,Positive,medium,2026-06-23,in_progress,No
TKT-100147,CUST-13597,ORD-482782,the application screen is completely frozen on my dell xps 13 after the latest update.,Technical,Negative,high,2026-06-07,pending,No
TKT-100148,CUST-10811,ORD-308359,I forgot my password and the reset email is not arriving. My email is wyatt.lewis@example.com.,Account,Neutral,medium,2026-06-19,resolved,No
TKT-100149,CUST-13840,ORD-187859,My card on file was charged 199 but I cancelled my plan last week. Refund needed ASAP.,Billing,Positive,urgent,2026-06-07,new,No
TKT-100150,CUST-12453,ORD-313598,I need to change my registered email from penelope.perez@example.com to another address.,Account,Negative,low,2026-06-24,escalated,Yes
TKT-100151,CUST-14529,ORD-289976,"I'm trying to buy Noise-Cancelling Bud S from Wichita, but the payment keeps failing with billing code ERR_INVALID_LICENSE_KEY.",Billing,Positive,medium,2026-06-16,escalated,Yes
TKT-100152,CUST-15690,ORD-599375,I need to update my billing address from Boston to my new home. Can you help me?,Billing,Positive,low,2026-06-15,in_progress,No
TKT-100153,CUST-15754,ORD-826200,I need to update my billing address from Indianapolis to my new home. Can you help me?,Billing,Neutral,medium,2026-06-25,pending,No
TKT-100154,CUST-15075,ORD-709029,i cannot change my username. it keeps saying invalid format. please help.,Account,Neutral,medium,2026-06-10,new,No
TKT-100155,CUST-13292,ORD-212577,How do I clean and maintain my Noise-Cancelling Bud S? The user guide doesn't explain this well.,Product,Negative,low,2026-06-03,escalated,Yes
TKT-100156,CUST-16211,ORD-385808,i need to update my billing address from jacksonville to my new home. can you help me?,Billing,Neutral,high,2026-07-01,in_progress,No
TKT-100157,CUST-15591,ORD-540645,I need to update my billing address from Oakland to my new home. Can you help me?,Billing,Negative,low,2026-06-23,escalated,Yes
TKT-100158,CUST-17423,ORD-363848,I am unable to login on my iPhone 14 Pro. It keeps spinning and says ERR_INVALID_LICENSE_KEY.,Technical,Negative,low,2026-06-09,new,No
TKT-100159,CUST-13621,ORD-978458,I am requesting a refund for order ORD-978458 since the product arrived damaged. The total amount was $1499.,Billing,Negative,high,2026-06-11,new,No
TKT-100160,CUST-11712,ORD-484597,I am requesting a refund for order ORD-484597 since the product arrived damaged. The total amount was $199.,Billing,Neutral,medium,2026-06-11,in_progress,No
TKT-100161,CUST-11341,ORD-633469,I want to compare Pro Headphones X with other models. What are the key advantages of this version?,Product,Positive,urgent,2026-06-07,resolved,No
TKT-100162,CUST-12712,ORD-301856,How can I delete my profile? I no longer wish to use this service. My customer name is Casey Irvin.,Account,Neutral,urgent,2026-06-29,in_progress,No
TKT-100163,CUST-11981,ORD-175099,Could you send me the invoice for my purchase of Pro Headphones X? Order ID is ORD-175099.,Billing,Positive,low,2026-06-04,resolved,No
TKT-100164,CUST-14890,ORD-559858,Someone tried to access my profile from a different location. Can you verify my login history?,Account,Positive,urgent,2026-06-08,in_progress,No
TKT-100165,CUST-12739,ORD-985104,The application screen is completely frozen on my Dell XPS 13 after the latest update.,Technical,Neutral,medium,2026-06-27,new,No
TKT-100166,CUST-12185,ORD-109529,My Android Tablet is throwing error ERR_CONNECTION_TIMED_OUT when trying to connect to the server. Please help.,Technical,Positive,medium,2026-06-02,resolved,No
TKT-100167,CUST-18249,ORD-165005,I am requesting a refund for order ORD-165005 since the product arrived damaged. The total amount was $1499. please assist asap.,Billing,Neutral,urgent,2026-06-03,pending,No
TKT-100168,CUST-19781,ORD-670449,I ordered 4K HDR Monitor but the delivery address is incorrect. Can I change it to Seattle?,Shipping,Neutral,low,2026-06-03,new,No
TKT-100169,CUST-11587,ORD-300521,My iPad Air is throwing error ERR_RESOURCE_NOT_FOUND_404 when trying to connect to the server. Please help.,Technical,Neutral,medium,2026-07-01,in_progress,No
