Order ID,Customer ID,Product Name,Product Category,Order Date,Order Amount,Payment Status,Delivery Status,Expected Delivery Date,Refund Status,Warranty Status
ORD-308024,CUST-10011,Secure Router Pro,Networking,2025-04-02,199,Paid,Delivered,2025-04-05,None,Expired
ORD-927309,CUST-10011,4K HDR Monitor,Display,2025-03-27,599,Paid,Not Shipped,2025-03-30,None,Expired
ORD-421782,CUST-10011,4K HDR Monitor,Display,2025-03-28,599,Paid,Delivered,2025-04-03,None,Expired
ORD-983115,CUST-10012,Noise-Cancelling Bud S,Audio,2025-02-16,129,Processing Refund,Not Shipped,2025-02-20,Processing,Expired
ORD-427513,CUST-10012,Pro Headphones X,Audio,2025-01-31,299,Paid,Delivered,2025-02-03,None,Expired
ORD-901250,CUST-10012,Quantum Laptop 15,Computing,2025-02-03,1499,Paid,Delivered,2025-02-07,None,Expired
ORD-147224,CUST-10012,Noise-Cancelling Bud S,Audio,2025-02-15,129,Unpaid,In Transit,2025-02-18,None,Expired
ORD-964964,CUST-10013,4K HDR Monitor,Display,2025-11-15,599,Paid,In Transit,2025-11-19,None,Active
ORD-601403,CUST-10014,Quantum Laptop 15,Computing,2026-06-12,1499,Unpaid,In Transit,2026-06-19,None,Active
ORD-864300,CUST-10015,Noise-Cancelling Bud S,Audio,2026-02-08,129,Paid,Not Shipped,2026-02-11,None,Active
ORD-967442,CUST-10015,Ultra Smartwatch v2,Wearables,2026-02-08,349,Paid,Delivered,2026-02-14,None,Active
ORD-521850,CUST-10015,Eco Charging Pad,Accessories,2026-02-15,49,Unpaid,Delivered,2026-02-20,None,No Warranty
ORD-835113,CUST-10016,4K HDR Monitor,Display,2024-05-19,599,Paid,Delivered,2024-05-24,None,Expired
ORD-166762,CUST-10016,Eco Charging Pad,Accessories,2024-05-15,49,Paid,Cancelled,2024-05-22,None,No Warranty
ORD-797087,CUST-10017,4K HDR Monitor,Display,2024-03-20,599,Refunded,Delivered,2024-03-24,Completed,Expired
ORD-986474,CUST-10017,Quantum Laptop 15,Computing,2024-03-17,1499,Paid,Delivered,2024-03-21,None,Expired
ORD-377482,CUST-10017,4K HDR Monitor,Display,2024-03-20,599,Paid,Delivered,2024-03-26,None,Expired
ORD-388842,CUST-10017,Noise-Cancelling Bud S,Audio,2024-03-28,129,Unpaid,Not Shipped,2024-04-01,None,Expired
ORD-168534,CUST-10017,Quantum Laptop 15,Computing,2024-03-26,1499,Paid,In Transit,2024-03-31,None,Expired
ORD-441824,CUST-10018,Quantum Laptop 15,Computing,2025-11-03,1499,Unpaid,Cancelled,2025-11-07,None,Active
ORD-432142,CUST-10019,Noise-Cancelling Bud S,Audio,2025-05-28,129,Paid,Delivered,2025-06-02,None,Expired
ORD-967466,CUST-10020,Quantum Laptop 15,Computing,2024-09-09,1499,Processing Refund,Delivered,2024-09-15,Processing,Expired
ORD-805191,CUST-10020,4K HDR Monitor,Display,2024-09-09,599,Paid,In Transit,2024-09-12,None,Expired
ORD-810921,CUST-10020,Noise-Cancelling Bud S,Audio,2024-08-27,129,Paid,In Transit,2024-09-01,None,Expired
ORD-440000,CUST-10021,Quantum Laptop 15,Computing,2025-01-03,1499,Paid,Delivered,2025-01-06,None,Expired
ORD-157904,CUST-10021,Ultra Smartwatch v2,Wearables,2025-01-10,349,Paid,Delivered,2025-01-14,None,Expired
ORD-169598,CUST-10021,4K HDR Monitor,Display,2025-01-08,599,Paid,Delivered,2025-01-12,None,Expired
ORD-127655,CUST-10021,Eco Charging Pad,Accessories,2024-12-31,49,Paid,Delivered,2025-01-03,None,No Warranty
ORD-328174,CUST-10022,Pro Headphones X,Audio,2026-05-26,299,Unpaid,Cancelled,2026-06-01,None,Active
ORD-162901,CUST-10022,Secure Router Pro,Networking,2026-05-28,199,Paid,Not Shipped,2026-06-02,None,Active
ORD-211385,CUST-10022,Secure Router Pro,Networking,2026-06-04,199,Paid,Delivered,2026-06-09,None,Active
ORD-315011,CUST-10023,4K HDR Monitor,Display,2026-04-01,599,Paid,Not Shipped,2026-04-04,None,Active
ORD-676521,CUST-10023,Secure Router Pro,Networking,2026-04-07,199,Paid,In Transit,2026-04-11,None,Active
ORD-262761,CUST-10023,Noise-Cancelling Bud S,Audio,2026-04-07,129,Paid,Cancelled,2026-04-10,None,Active
ORD-719169,CUST-10024,Secure Router Pro,Networking,2024-07-15,199,Paid,Not Shipped,2024-07-18,None,Expired
ORD-730975,CUST-10025,4K HDR Monitor,Display,2025-04-08,599,Paid,In Transit,2025-04-15,None,Expired
ORD-220954,CUST-10025,Noise-Cancelling Bud S,Audio,2025-04-15,129,Refunded,Delivered,2025-04-21,Completed,Expired
ORD-410849,CUST-10026,Quantum Laptop 15,Computing,2025-03-11,1499,Paid,Delivered,2025-03-15,None,Expired
ORD-322807,CUST-10026,Secure Router Pro,Networking,2025-03-13,199,Paid,Delivered,2025-03-18,None,Expired
ORD-717566,CUST-10026,Secure Router Pro,Networking,2025-03-20,199,Paid,Cancelled,2025-03-26,None,Expired
ORD-315214,CUST-10027,Ultra Smartwatch v2,Wearables,2025-09-08,349,Paid,In Transit,2025-09-15,None,Active
ORD-294306,CUST-10027,Eco Charging Pad,Accessories,2025-09-10,49,Paid,Delivered,2025-09-15,None,No Warranty
ORD-829891,CUST-10027,Pro Headphones X,Audio,2025-09-04,299,Processing Refund,Delivered,2025-09-10,Processing,Active
ORD-399001,CUST-10028,Noise-Cancelling Bud S,Audio,2025-11-30,129,Paid,In Transit,2025-12-05,None,Active
ORD-612849,CUST-10028,Quantum Laptop 15,Computing,2025-12-01,1499,Refunded,Not Shipped,2025-12-05,Completed,Active
ORD-351528,CUST-10028,Secure Router Pro,Networking,2025-11-18,199,Unpaid,Cancelled,2025-11-25,None,Active
ORD-335901,CUST-10028,4K HDR Monitor,Display,2025-11-20,599,Paid,Delivered,2025-11-23,None,Active
ORD-623839,CUST-10029,Quantum Laptop 15,Computing,2024-11-23,1499,Paid,Cancelled,2024-11-28,None,Expired
ORD-478790,CUST-10029,Pro Headphones X,Audio,2024-11-21,299,Processing Refund,Delivered,2024-11-26,Processing,Expired
ORD-140719,CUST-10029,Pro Headphones X,Audio,2024-11-13,299,Unpaid,Delivered,2024-11-20,None,Expired
ORD-931743,CUST-10030,Noise-Cancelling Bud S,Audio,2024-12-11,129,Paid,Cancelled,2024-12-17,None,Expired
ORD-301726,CUST-10031,4K HDR Monitor,Display,2024-10-24,599,Paid,Delivered,2024-10-30,None,Expired
ORD-162689,CUST-10031,Eco Charging Pad,Accessories,2024-10-24,49,Unpaid,Delivered,2024-10-30,None,No Warranty
ORD-694379,CUST-10031,Ultra Smartwatch v2,Wearables,2024-10-18,349,Paid,Delivered,2024-10-23,None,Expired
ORD-641841,CUST-10031,4K HDR Monitor,Display,2024-10-23,599,Paid,Delivered,2024-10-30,None,Expired
ORD-516807,CUST-10032,4K HDR Monitor,Display,2024-01-15,599,Refunded,Not Shipped,2024-01-21,Completed,Expired
ORD-517224,CUST-10032,Quantum Laptop 15,Computing,2023-12-29,1499,Paid,In Transit,2024-01-01,None,Expired
ORD-993498,CUST-10032,Quantum Laptop 15,Computing,2024-01-08,1499,Paid,Cancelled,2024-01-11,None,Expired
ORD-378359,CUST-10032,Eco Charging Pad,Accessories,2024-01-15,49,Refunded,Not Shipped,2024-01-20,Completed,No Warranty
ORD-846375,CUST-10032,Quantum Laptop 15,Computing,2023-12-31,1499,Paid,Cancelled,2024-01-03,None,Expired
ORD-868350,CUST-10033,Ultra Smartwatch v2,Wearables,2025-09-16,349,Paid,Delivered,2025-09-21,None,Active
ORD-959242,CUST-10034,Ultra Smartwatch v2,Wearables,2025-03-16,349,Paid,Delivered,2025-03-19,None,Expired
ORD-310580,CUST-10034,Noise-Cancelling Bud S,Audio,2025-03-17,129,Paid,Not Shipped,2025-03-20,None,Expired
ORD-686378,CUST-10034,Eco Charging Pad,Accessories,2025-03-30,49,Refunded,Cancelled,2025-04-02,Completed,No Warranty
ORD-826043,CUST-10034,Quantum Laptop 15,Computing,2025-03-25,1499,Paid,Cancelled,2025-03-31,None,Expired
ORD-938015,CUST-10034,Eco Charging Pad,Accessories,2025-03-27,49,Paid,Not Shipped,2025-04-03,None,No Warranty
ORD-515745,CUST-10035,Quantum Laptop 15,Computing,2024-05-24,1499,Unpaid,In Transit,2024-05-30,None,Expired
ORD-171885,CUST-10035,Pro Headphones X,Audio,2024-05-20,299,Paid,Delivered,2024-05-23,None,Expired
ORD-153012,CUST-10035,4K HDR Monitor,Display,2024-05-24,599,Refunded,In Transit,2024-05-27,Completed,Expired
ORD-497737,CUST-10035,Quantum Laptop 15,Computing,2024-05-23,1499,Paid,In Transit,2024-05-28,None,Expired
ORD-919523,CUST-10035,Eco Charging Pad,Accessories,2024-06-05,49,Processing Refund,Delivered,2024-06-12,Processing,No Warranty
ORD-956551,CUST-10036,Eco Charging Pad,Accessories,2026-01-26,49,Unpaid,Cancelled,2026-02-02,None,No Warranty
ORD-279128,CUST-10036,Secure Router Pro,Networking,2026-01-22,199,Processing Refund,Not Shipped,2026-01-29,Processing,Active
ORD-278357,CUST-10036,4K HDR Monitor,Display,2026-01-25,599,Refunded,In Transit,2026-01-28,Completed,Active
ORD-449064,CUST-10036,Pro Headphones X,Audio,2026-02-07,299,Refunded,In Transit,2026-02-12,Completed,Active
ORD-868394,CUST-10036,Ultra Smartwatch v2,Wearables,2026-01-29,349,Refunded,Delivered,2026-02-05,Completed,Active
ORD-841990,CUST-10037,Eco Charging Pad,Accessories,2023-12-01,49,Paid,Cancelled,2023-12-08,None,No Warranty
ORD-642632,CUST-10037,4K HDR Monitor,Display,2023-11-13,599,Refunded,In Transit,2023-11-20,Completed,Expired
ORD-892355,CUST-10037,Pro Headphones X,Audio,2023-11-18,299,Processing Refund,Delivered,2023-11-24,Processing,Expired
ORD-340737,CUST-10037,Eco Charging Pad,Accessories,2023-11-18,49,Paid,In Transit,2023-11-21,None,No Warranty
ORD-325974,CUST-10038,Noise-Cancelling Bud S,Audio,2024-06-29,129,Paid,Delivered,2024-07-06,None,Expired
ORD-678401,CUST-10038,Pro Headphones X,Audio,2024-06-22,299,Refunded,Delivered,2024-06-29,Completed,Expired
ORD-575778,CUST-10039,Ultra Smartwatch v2,Wearables,2026-05-10,349,Paid,Delivered,2026-05-17,None,Active
ORD-808307,CUST-10039,Eco Charging Pad,Accessories,2026-05-11,49,Unpaid,Cancelled,2026-05-16,None,No Warranty
ORD-888541,CUST-10039,Pro Headphones X,Audio,2026-05-05,299,Processing Refund,In Transit,2026-05-11,Processing,Active
ORD-404259,CUST-10039,Eco Charging Pad,Accessories,2026-05-10,49,Unpaid,In Transit,2026-05-15,None,No Warranty
ORD-882364,CUST-10040,Pro Headphones X,Audio,2025-12-18,299,Unpaid,Delivered,2025-12-24,None,Active
ORD-898312,CUST-10040,Ultra Smartwatch v2,Wearables,2025-12-22,349,Paid,Cancelled,2025-12-28,None,Active
ORD-599222,CUST-10040,Noise-Cancelling Bud S,Audio,2025-12-16,129,Paid,Cancelled,2025-12-23,None,Active
ORD-435128,CUST-10040,Pro Headphones X,Audio,2025-12-21,299,Processing Refund,In Transit,2025-12-28,Processing,Active
ORD-264888,CUST-10040,Eco Charging Pad,Accessories,2025-12-10,49,Paid,Delivered,2025-12-14,None,No Warranty
ORD-250712,CUST-10041,Eco Charging Pad,Accessories,2025-04-27,49,Paid,Delivered,2025-05-02,None,No Warranty
ORD-579825,CUST-10042,Ultra Smartwatch v2,Wearables,2026-03-31,349,Unpaid,Delivered,2026-04-03,None,Active
ORD-366269,CUST-10042,Noise-Cancelling Bud S,Audio,2026-04-01,129,Refunded,Delivered,2026-04-04,Completed,Active
ORD-651863,CUST-10042,Ultra Smartwatch v2,Wearables,2026-03-28,349,Paid,Not Shipped,2026-04-02,None,Active
ORD-515211,CUST-10042,Secure Router Pro,Networking,2026-03-19,199,Paid,Not Shipped,2026-03-26,None,Active
ORD-958008,CUST-10042,4K HDR Monitor,Display,2026-03-23,599,Paid,Cancelled,2026-03-28,None,Active
ORD-875763,CUST-10043,Quantum Laptop 15,Computing,2025-06-11,1499,Paid,Not Shipped,2025-06-15,None,Expired
ORD-198326,CUST-10043,Eco Charging Pad,Accessories,2025-06-09,49,Refunded,Delivered,2025-06-16,Completed,No Warranty
ORD-923874,CUST-10043,4K HDR Monitor,Display,2025-06-04,599,Unpaid,In Transit,2025-06-08,None,Expired
ORD-594008,CUST-10043,Quantum Laptop 15,Computing,2025-06-12,1499,Processing Refund,Delivered,2025-06-16,Processing,Expired
ORD-938894,CUST-10044,Eco Charging Pad,Accessories,2024-08-31,49,Paid,In Transit,2024-09-04,None,No Warranty
ORD-754132,CUST-10044,Pro Headphones X,Audio,2024-09-07,299,Paid,Cancelled,2024-09-10,None,Expired
ORD-720553,CUST-10044,Pro Headphones X,Audio,2024-09-13,299,Refunded,Delivered,2024-09-17,Completed,Expired
ORD-432320,CUST-10044,Ultra Smartwatch v2,Wearables,2024-09-18,349,Paid,In Transit,2024-09-21,None,Expired
ORD-306798,CUST-10045,Pro Headphones X,Audio,2025-09-24,299,Refunded,Cancelled,2025-09-30,Completed,Active
ORD-924495,CUST-10046,4K HDR Monitor,Display,2025-10-12,599,Paid,Delivered,2025-10-19,None,Active
ORD-105026,CUST-10046,4K HDR Monitor,Display,2025-10-10,599,Paid,Cancelled,2025-10-13,None,Active
ORD-816920,CUST-10046,Quantum Laptop 15,Computing,2025-10-01,1499,Processing Refund,Cancelled,2025-10-04,Processing,Active
ORD-956582,CUST-10046,Quantum Laptop 15,Computing,2025-10-02,1499,Paid,Delivered,2025-10-06,None,Active
ORD-916060,CUST-10047,Ultra Smartwatch v2,Wearables,2024-02-27,349,Paid,Delivered,2024-03-02,None,Expired
ORD-323321,CUST-10047,Ultra Smartwatch v2,Wearables,2024-02-21,349,Processing Refund,Not Shipped,2024-02-25,Processing,Expired
ORD-462404,CUST-10047,4K HDR Monitor,Display,2024-02-15,599,Paid,Delivered,2024-02-18,None,Expired
ORD-710585,CUST-10047,Quantum Laptop 15,Computing,2024-02-16,1499,Refunded,Delivered,2024-02-23,Completed,Expired
ORD-328298,CUST-10048,Noise-Cancelling Bud S,Audio,2025-08-04,129,Paid,Cancelled,2025-08-11,None,Active
ORD-632151,CUST-10048,Quantum Laptop 15,Computing,2025-08-07,1499,Refunded,In Transit,2025-08-11,Completed,Active
ORD-743559,CUST-10048,4K HDR Monitor,Display,2025-07-31,599,Refunded,In Transit,2025-08-06,Completed,Active
ORD-994066,CUST-10048,Pro Headphones X,Audio,2025-08-19,299,Processing Refund,Not Shipped,2025-08-26,Processing,Active
ORD-986596,CUST-10049,4K HDR Monitor,Display,2024-10-06,599,Paid,Cancelled,2024-10-13,None,Expired
ORD-919299,CUST-10049,4K HDR Monitor,Display,2024-09-27,599,Refunded,Delivered,2024-10-03,Completed,Expired
ORD-673749,CUST-10049,4K HDR Monitor,Display,2024-10-04,599,Paid,Not Shipped,2024-10-11,None,Expired
ORD-157817,CUST-10049,Secure Router Pro,Networking,2024-10-07,199,Paid,Delivered,2024-10-14,None,Expired
ORD-295834,CUST-10049,Quantum Laptop 15,Computing,2024-09-24,1499,Paid,Delivered,2024-09-30,None,Expired
ORD-399559,CUST-10050,Secure Router Pro,Networking,2026-03-24,199,Unpaid,Delivered,2026-03-30,None,Active
ORD-240587,CUST-10050,4K HDR Monitor,Display,2026-04-10,599,Paid,Delivered,2026-04-16,None,Active
ORD-339482,CUST-10050,Secure Router Pro,Networking,2026-04-06,199,Paid,Cancelled,2026-04-13,None,Active
ORD-363086,CUST-10051,Ultra Smartwatch v2,Wearables,2025-06-24,349,Processing Refund,Delivered,2025-06-29,Processing,Expired
ORD-745888,CUST-10051,Eco Charging Pad,Accessories,2025-06-18,49,Refunded,Not Shipped,2025-06-23,Completed,No Warranty
ORD-392046,CUST-10051,Secure Router Pro,Networking,2025-06-19,199,Refunded,Not Shipped,2025-06-22,Completed,Expired
ORD-934371,CUST-10051,Ultra Smartwatch v2,Wearables,2025-06-17,349,Paid,Cancelled,2025-06-21,None,Expired
ORD-114872,CUST-10052,Quantum Laptop 15,Computing,2024-10-15,1499,Refunded,Delivered,2024-10-19,Completed,Expired
ORD-360713,CUST-10053,Ultra Smartwatch v2,Wearables,2025-05-19,349,Refunded,In Transit,2025-05-22,Completed,Expired
ORD-332616,CUST-10053,Ultra Smartwatch v2,Wearables,2025-05-14,349,Paid,Delivered,2025-05-20,None,Expired
ORD-670746,CUST-10054,4K HDR Monitor,Display,2023-10-28,599,Unpaid,In Transit,2023-10-31,None,Expired
ORD-508074,CUST-10055,Pro Headphones X,Audio,2026-02-02,299,Paid,Delivered,2026-02-06,None,Active
ORD-587042,CUST-10055,Quantum Laptop 15,Computing,2026-02-08,1499,Paid,Delivered,2026-02-12,None,Active
ORD-416853,CUST-10056,Quantum Laptop 15,Computing,2025-08-05,1499,Unpaid,Delivered,2025-08-08,None,Active
ORD-222245,CUST-10056,Ultra Smartwatch v2,Wearables,2025-07-30,349,Processing Refund,Delivered,2025-08-05,Processing,Active
ORD-128272,CUST-10056,4K HDR Monitor,Display,2025-07-24,599,Refunded,Cancelled,2025-07-31,Completed,Active
ORD-719355,CUST-10057,Eco Charging Pad,Accessories,2025-11-28,49,Paid,In Transit,2025-12-05,None,No Warranty
ORD-118917,CUST-10057,4K HDR Monitor,Display,2025-12-03,599,Paid,Delivered,2025-12-07,None,Active
ORD-842150,CUST-10057,Noise-Cancelling Bud S,Audio,2025-11-30,129,Paid,Delivered,2025-12-06,None,Active
ORD-289310,CUST-10058,Pro Headphones X,Audio,2026-02-17,299,Paid,Delivered,2026-02-24,None,Active
ORD-234188,CUST-10059,Secure Router Pro,Networking,2025-12-12,199,Paid,Cancelled,2025-12-19,None,Active
ORD-578495,CUST-10059,Noise-Cancelling Bud S,Audio,2025-12-21,129,Paid,Delivered,2025-12-28,None,Active
ORD-987913,CUST-10059,Noise-Cancelling Bud S,Audio,2025-12-12,129,Paid,In Transit,2025-12-16,None,Active
ORD-718861,CUST-10059,Eco Charging Pad,Accessories,2025-12-28,49,Paid,Delivered,2026-01-02,None,No Warranty
ORD-296051,CUST-10060,Ultra Smartwatch v2,Wearables,2025-08-29,349,Paid,In Transit,2025-09-04,None,Active
ORD-276424,CUST-10060,Pro Headphones X,Audio,2025-08-31,299,Paid,Delivered,2025-09-04,None,Active
ORD-568083,CUST-10060,Eco Charging Pad,Accessories,2025-08-28,49,Processing Refund,Delivered,2025-09-04,Processing,No Warranty
ORD-832206,CUST-10060,Quantum Laptop 15,Computing,2025-08-20,1499,Paid,Delivered,2025-08-25,None,Active
ORD-708027,CUST-10060,Noise-Cancelling Bud S,Audio,2025-09-02,129,Paid,Delivered,2025-09-09,None,Active
ORD-153990,CUST-10061,Noise-Cancelling Bud S,Audio,2024-03-31,129,Paid,Delivered,2024-04-05,None,Expired
ORD-216869,CUST-10062,Eco Charging Pad,Accessories,2025-06-02,49,Paid,Cancelled,2025-06-05,None,No Warranty
ORD-271772,CUST-10062,Eco Charging Pad,Accessories,2025-06-14,49,Paid,Delivered,2025-06-21,None,No Warranty
ORD-325976,CUST-10062,4K HDR Monitor,Display,2025-06-19,599,Unpaid,Not Shipped,2025-06-24,None,Expired
ORD-238509,CUST-10063,Noise-Cancelling Bud S,Audio,2026-02-12,129,Paid,Delivered,2026-02-18,None,Active
ORD-516897,CUST-10064,Secure Router Pro,Networking,2024-11-28,199,Paid,Delivered,2024-12-05,None,Expired
ORD-383784,CUST-10064,4K HDR Monitor,Display,2024-12-06,599,Refunded,In Transit,2024-12-12,Completed,Expired
ORD-214115,CUST-10064,Secure Router Pro,Networking,2024-12-12,199,Paid,In Transit,2024-12-17,None,Expired
ORD-191306,CUST-10064,4K HDR Monitor,Display,2024-11-27,599,Unpaid,In Transit,2024-12-02,None,Expired
ORD-412959,CUST-10065,4K HDR Monitor,Display,2024-01-10,599,Unpaid,Delivered,2024-01-15,None,Expired
ORD-113721,CUST-10065,Noise-Cancelling Bud S,Audio,2024-01-17,129,Paid,Cancelled,2024-01-21,None,Expired
ORD-517779,CUST-10065,Secure Router Pro,Networking,2024-01-17,199,Refunded,Cancelled,2024-01-24,Completed,Expired
ORD-124572,CUST-10065,Noise-Cancelling Bud S,Audio,2024-01-10,129,Paid,Not Shipped,2024-01-13,None,Expired
ORD-342973,CUST-10066,Quantum Laptop 15,Computing,2024-09-05,1499,Paid,Delivered,2024-09-11,None,Expired
ORD-838948,CUST-10066,4K HDR Monitor,Display,2024-08-17,599,Processing Refund,Delivered,2024-08-21,Processing,Expired
ORD-368810,CUST-10066,Quantum Laptop 15,Computing,2024-08-18,1499,Paid,Not Shipped,2024-08-25,None,Expired
ORD-283651,CUST-10066,Eco Charging Pad,Accessories,2024-08-20,49,Paid,Delivered,2024-08-23,None,No Warranty
ORD-954944,CUST-10066,Noise-Cancelling Bud S,Audio,2024-08-31,129,Paid,In Transit,2024-09-06,None,Expired
ORD-578946,CUST-10067,Secure Router Pro,Networking,2024-05-14,199,Paid,In Transit,2024-05-20,None,Expired
ORD-149735,CUST-10067,Pro Headphones X,Audio,2024-05-15,299,Processing Refund,In Transit,2024-05-22,Processing,Expired
ORD-728359,CUST-10067,Pro Headphones X,Audio,2024-05-14,299,Paid,Delivered,2024-05-20,None,Expired
ORD-392299,CUST-10067,Pro Headphones X,Audio,2024-05-04,299,Processing Refund,Delivered,2024-05-07,Processing,Expired
ORD-935024,CUST-10068,4K HDR Monitor,Display,2025-01-22,599,Paid,Delivered,2025-01-25,None,Expired
ORD-238914,CUST-10069,Ultra Smartwatch v2,Wearables,2024-01-16,349,Refunded,Delivered,2024-01-23,Completed,Expired
ORD-968754,CUST-10069,Noise-Cancelling Bud S,Audio,2024-01-10,129,Paid,Delivered,2024-01-14,None,Expired
ORD-507950,CUST-10070,4K HDR Monitor,Display,2025-02-04,599,Unpaid,Not Shipped,2025-02-10,None,Expired
ORD-612717,CUST-10070,Secure Router Pro,Networking,2025-02-11,199,Processing Refund,Delivered,2025-02-15,Processing,Expired
ORD-618617,CUST-10070,Pro Headphones X,Audio,2025-02-11,299,Unpaid,In Transit,2025-02-16,None,Expired
ORD-448207,CUST-10070,Pro Headphones X,Audio,2025-02-11,299,Unpaid,Delivered,2025-02-15,None,Expired
ORD-829378,CUST-10070,Pro Headphones X,Audio,2025-01-26,299,Processing Refund,Delivered,2025-02-02,Processing,Expired
ORD-532613,CUST-10071,Eco Charging Pad,Accessories,2024-03-18,49,Unpaid,In Transit,2024-03-23,None,No Warranty
ORD-107097,CUST-10071,4K HDR Monitor,Display,2024-03-05,599,Unpaid,Delivered,2024-03-10,None,Expired
ORD-295407,CUST-10071,Secure Router Pro,Networking,2024-03-09,199,Refunded,Not Shipped,2024-03-12,Completed,Expired
ORD-880384,CUST-10071,Ultra Smartwatch v2,Wearables,2024-03-02,349,Paid,Not Shipped,2024-03-08,None,Expired
ORD-205884,CUST-10072,Secure Router Pro,Networking,2024-06-13,199,Refunded,Delivered,2024-06-16,Completed,Expired
ORD-845453,CUST-10072,Noise-Cancelling Bud S,Audio,2024-06-06,129,Paid,Delivered,2024-06-13,None,Expired
ORD-153685,CUST-10072,Noise-Cancelling Bud S,Audio,2024-06-11,129,Processing Refund,Cancelled,2024-06-18,Processing,Expired
ORD-454278,CUST-10072,4K HDR Monitor,Display,2024-06-10,599,Paid,Delivered,2024-06-16,None,Expired
